"configuration","cost_per_use","scalar_registers","average_register_costs","tail_duplication","benchmark","cycles","text_size","data_size","bss_size","function_size","stack_frame_size","ldsp_stsp_count","compact_add_sub_count","full_add_sub_count","compact_xor_count","full_xor_count","compact_mov_count","full_mov_count","short_branch_count","long_branch_count","crc_table_exists","crc_table_size"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","progmem_walk","3175020","176","2","0","152","10","21","4","3","5","0","6","1","3","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","progmem_widen_ldp16","542476","166","6","0","51","0","0","0","0","1","0","0","0","0","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","progmem_widen_ldp32_bytes","737024","232","6","0","54","0","0","0","0","1","0","0","0","0","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","progmem_widen_ldp32_words","542465","169","6","0","54","0","0","0","0","1","0","0","0","0","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","record_scan","1793903","243","290","0","219","6","12","8","3","6","1","8","1","7","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","reverse_walk","1926704","96","258","0","73","0","0","2","1","2","0","2","2","3","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","select","744268","183","194","0","125","4","6","2","1","2","0","2","1","3","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","shifts","520129","452","116","0","356","16","26","2","6","5","6","5","3","3","1","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","sieve","372894","88","900","0","65","0","0","3","1","1","0","1","1","6","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","small_memops","785139","220","66","0","196","12","12","1","0","3","0","2","3","2","1","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","stack_array","820167","455","4","0","206","0","0","0","0","1","15","0","15","0","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","state_machine","7292256","210","130","0","186","2","10","8","1","5","0","2","4","14","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","string_scan","25469691","585","386","0","561","12","14","11","12","5","8","20","14","34","2","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","struct_copy","593528","392","196","0","195","12","18","0","4","11","1","1","4","3","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","switch","936377","197","2","0","57","0","0","0","1","1","0","2","3","1","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","sys_memcmp","3024","180","266","0","156","2","7","5","4","4","0","2","4","1","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","sys_memcmp_p","5303","161","74","0","137","4","9","0","5","1","0","2","4","1","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","sys_strcmp","2715","212","280","0","188","4","13","10","4","1","0","11","2","4","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","sys_strcmp_p","5663","163","133","0","139","2","6","2","4","0","0","3","4","1","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","sys_strlen","3039","178","304","0","154","0","0","4","0","1","0","5","0","1","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","sys_strlen_p","7209","95","2","0","72","0","0","1","3","1","0","4","2","0","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","sys_strncat","2360","137","182","0","114","4","7","3","0","1","0","2","0","0","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","sys_strncat_p","3580","145","144","0","122","4","6","3","0","1","0","0","0","0","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","sys_strncpy","2291","212","115","0","188","4","4","4","1","1","0","5","2","1","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","sys_strncpy_p","3794","158","69","0","134","8","8","3","0","1","0","0","0","0","0","False","0"
"memory-current-thresholds-cost1-regs12-avgfalse","1","12","false","false","tail_calls","501299","87","4","0","38","0","0","0","0","1","1","0","1","1","0","False","0"
