"configuration","cost_per_use","scalar_registers","average_register_costs","tail_duplication","benchmark","cycles","text_size","data_size","bss_size","function_size","stack_frame_size","ldsp_stsp_count","compact_add_sub_count","full_add_sub_count","compact_xor_count","full_xor_count","compact_mov_count","full_mov_count","short_branch_count","long_branch_count","crc_table_exists","crc_table_size"
"cost0-regs8-avgfalse","0","8","false","False","bubble2","1257054","106","128","0","83","0","0","0","0","2","0","2","3","7","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","bubble4","1836730","130","256","0","107","4","4","0","0","3","0","4","2","7","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","call_args","289179","201","4","0","94","16","8","0","0","3","2","9","3","1","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","constant_arith","7849378","235","130","0","211","8","8","1","14","3","5","10","8","1","2","False","0"
"cost0-regs8-avgfalse","0","8","false","False","crc16","762440","106","656","0","83","0","0","1","3","2","1","2","2","3","0","True","512"
"cost0-regs8-avgfalse","0","8","false","False","divmod","1034298","692","164","0","344","10","15","4","13","9","6","4","5","3","1","False","0"
"cost0-regs8-avgfalse","0","8","false","False","fibonacci","250048","82","2","0","14","0","0","0","0","1","0","0","0","0","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","fir8","8770540","179","114","0","155","2","2","0","4","3","0","2","1","4","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","fixed_point","11609348","417","258","0","220","6","8","1","6","7","1","6","6","7","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","float","881658","250","134","0","226","8","16","0","7","9","0","3","3","3","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","indirect_call","83052","107","3","0","71","0","0","0","0","1","0","0","1","2","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","loop_control","20271868","107","34","0","84","0","0","0","2","4","0","2","0","4","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","memory_services","18512","107","196","0","84","2","4","1","0","3","0","2","1","4","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","mixed_width","3142866","463","260","0","266","18","30","1","6","10","0","9","5","2","1","False","0"
"cost0-regs8-avgfalse","0","8","false","False","multiply","911005","238","258","0","214","4","8","7","10","3","0","6","7","3","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","pointer_walk","1000732","98","258","0","75","0","0","0","2","2","1","2","0","3","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","progmem_walk","3209957","178","2","0","154","10","21","4","3","5","0","7","1","2","1","False","0"
"cost0-regs8-avgfalse","0","8","false","False","progmem_widen_ldp16","573604","168","6","0","51","0","0","0","0","1","0","0","0","0","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","progmem_widen_ldp32_bytes","737024","232","6","0","54","0","0","0","0","1","0","0","0","0","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","progmem_widen_ldp32_words","573593","171","6","0","54","0","0","0","0","1","0","0","0","0","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","record_scan","1564880","242","290","0","218","4","8","8","4","6","0","6","4","7","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","reverse_walk","2593084","99","258","0","76","0","0","0","2","2","1","2","2","3","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","select","744268","181","194","0","123","4","4","1","2","2","0","2","1","3","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","shifts","491985","441","116","0","345","16","22","2","6","5","6","4","3","3","1","False","0"
"cost0-regs8-avgfalse","0","8","false","False","sieve","518627","96","900","0","73","0","0","2","2","1","0","1","1","6","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","small_memops","817203","216","66","0","192","12","12","0","1","3","0","2","4","3","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","stack_array","897447","458","4","0","206","0","0","0","0","1","15","0","15","0","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","state_machine","7251129","211","130","0","187","4","4","7","3","3","1","4","1","14","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","string_scan","28897549","621","386","0","597","12","14","5","14","10","7","14","19","34","2","False","0"
"cost0-regs8-avgfalse","0","8","false","False","struct_copy","606888","395","196","0","198","8","14","0","4","11","1","1","6","3","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","switch","936377","197","2","0","57","0","0","0","1","1","0","2","3","1","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","sys_memcmp","3062","182","266","0","158","2","7","4","5","4","0","3","4","1","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","sys_memcmp_p","5303","161","74","0","137","4","9","0","5","1","0","2","4","1","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","sys_strcmp","2838","222","280","0","198","4","13","3","10","2","0","8","5","4","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","sys_strcmp_p","5691","162","133","0","138","2","6","0","5","1","0","1","4","1","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","sys_strlen","3039","178","304","0","154","0","0","4","0","1","0","5","0","1","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","sys_strlen_p","7230","96","2","0","73","0","0","0","4","1","0","4","2","0","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","sys_strncat","2360","137","182","0","114","4","7","3","0","1","0","2","0","0","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","sys_strncat_p","3580","145","144","0","122","4","6","3","0","1","0","0","0","0","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","sys_strncpy","2291","212","115","0","188","4","4","3","2","1","0","4","3","1","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","sys_strncpy_p","3794","158","69","0","134","8","8","3","0","1","0","0","0","0","0","False","0"
"cost0-regs8-avgfalse","0","8","false","False","tail_calls","501299","87","4","0","38","0","0","0","0","1","1","0","1","1","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","bubble1","1689738","117","64","0","94","0","0","0","0","2","0","4","4","7","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","bubble2","1576842","111","128","0","88","0","0","0","0","2","0","3","4","7","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","bubble4","2089990","133","256","0","110","4","4","0","0","3","0","4","4","7","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","call_args","289179","201","4","0","94","16","8","0","0","3","2","9","3","1","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","constant_arith","7847330","237","130","0","213","8","8","1","14","3","5","10","8","1","2","False","0"
"cost0-regs8-avgtrue","0","8","true","False","crc16","1888592","170","130","0","146","0","0","8","1","2","8","15","2","3","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","divmod","894557","734","164","0","382","16","34","1","7","12","4","6","5","3","1","False","0"
"cost0-regs8-avgtrue","0","8","true","False","fibonacci","250048","82","2","0","14","0","0","0","0","1","0","0","0","0","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","fir8","8881132","185","114","0","161","2","2","0","4","3","0","4","1","4","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","fixed_point","11609348","417","258","0","220","6","8","0","7","7","1","6","4","7","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","float","1202241","335","134","0","311","26","40","0","5","11","0","3","0","1","2","False","0"
"cost0-regs8-avgtrue","0","8","true","False","indirect_call","83052","107","3","0","71","0","0","0","0","1","0","0","1","2","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","loop_control","20271868","107","34","0","84","0","0","0","2","4","0","2","0","4","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","memory_services","18512","107","196","0","84","2","4","1","0","3","0","2","1","4","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","mixed_width","3083025","477","260","0","280","18","33","0","2","11","0","7","11","2","1","False","0"
"cost0-regs8-avgtrue","0","8","true","False","multiply","1111189","266","258","0","242","10","17","7","7","3","0","7","5","2","1","False","0"
"cost0-regs8-avgtrue","0","8","true","False","pointer_walk","1000732","98","258","0","75","0","0","0","2","2","1","2","0","3","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","progmem_walk","3209957","178","2","0","154","10","21","4","3","5","0","7","1","2","1","False","0"
"cost0-regs8-avgtrue","0","8","true","False","progmem_widen_ldp16","545647","174","6","0","51","0","0","0","0","1","0","0","0","0","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","progmem_widen_ldp32_bytes","738239","235","6","0","54","0","0","0","0","1","0","0","0","0","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","progmem_widen_ldp32_words","545636","177","6","0","54","0","0","0","0","1","0","0","0","0","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","record_scan","1564880","234","290","0","210","4","8","5","3","6","0","7","4","7","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","reverse_walk","2593084","99","258","0","76","0","0","0","2","2","1","2","2","3","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","select","743756","187","194","0","129","4","6","1","2","2","0","2","1","3","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","shifts","513825","456","116","0","360","16","24","2","7","4","6","4","8","3","1","False","0"
"cost0-regs8-avgtrue","0","8","true","False","sieve","521800","106","900","0","83","0","0","2","2","1","0","1","3","6","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","small_memops","815155","216","66","0","192","12","12","0","1","3","0","2","4","3","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","stack_array","968679","386","4","0","206","0","0","0","0","1","15","0","15","0","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","state_machine","7251129","211","130","0","187","4","4","7","3","3","1","4","1","14","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","string_scan","29314919","648","386","0","624","12","14","4","17","9","6","16","19","34","2","False","0"
"cost0-regs8-avgtrue","0","8","true","False","struct_copy","812792","425","196","0","228","14","27","0","6","7","4","1","5","3","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","switch","936377","197","2","0","57","0","0","0","1","1","0","2","3","1","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","sys_memcmp","3062","186","266","0","162","2","7","0","5","3","0","3","4","1","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","sys_memcmp_p","5303","161","74","0","137","4","9","0","5","1","0","2","4","1","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","sys_strcmp","2838","230","280","0","206","4","11","1","5","2","0","10","4","4","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","sys_strcmp_p","5691","162","133","0","138","2","6","0","5","1","0","1","4","1","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","sys_strlen","3039","178","304","0","154","0","0","4","0","1","0","5","0","1","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","sys_strlen_p","7230","96","2","0","73","0","0","0","4","1","0","4","2","0","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","sys_strncat","2360","137","182","0","114","4","7","3","0","1","0","2","0","0","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","sys_strncat_p","3580","145","144","0","122","4","6","3","0","1","0","0","0","0","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","sys_strncpy","2291","216","115","0","192","4","4","3","2","1","0","4","4","1","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","sys_strncpy_p","3794","158","69","0","134","8","8","3","0","1","0","0","0","0","0","False","0"
"cost0-regs8-avgtrue","0","8","true","False","tail_calls","501299","87","4","0","38","0","0","0","0","1","1","0","1","1","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","bubble1","1287837","115","64","0","92","0","0","0","1","1","0","1","5","7","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","bubble2","1217277","110","128","0","87","0","0","0","1","1","0","0","5","7","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","bubble4","1839565","131","256","0","108","6","7","0","0","3","0","4","0","7","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","call_args","289179","201","4","0","94","16","8","0","0","3","2","9","3","1","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","constant_arith","7755150","232","130","0","208","8","8","7","7","6","3","6","12","1","2","False","0"
"cost1-regs12-avgfalse","1","12","false","False","crc16","568040","98","656","0","75","0","0","3","1","3","0","1","3","3","0","True","512"
"cost1-regs12-avgfalse","1","12","false","False","divmod","1029370","686","164","0","338","10","15","8","10","8","6","4","9","3","1","False","0"
"cost1-regs12-avgfalse","1","12","false","False","fibonacci","250048","82","2","0","14","0","0","0","0","1","0","0","0","0","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","fir8","8407376","179","114","0","155","2","2","1","4","2","0","2","1","4","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","fixed_point","11609348","416","258","0","219","6","8","1","6","7","1","6","6","7","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","float","878698","242","134","0","218","8","16","4","4","8","0","10","0","3","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","indirect_call","83052","107","3","0","71","0","0","0","0","1","0","0","1","2","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","loop_control","13887376","100","34","0","77","0","0","2","1","3","0","0","2","4","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","memory_services","18512","107","196","0","84","2","4","1","0","3","0","2","1","4","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","mixed_width","3142866","471","260","0","281","18","37","1","2","10","0","9","4","2","1","False","0"
"cost1-regs12-avgfalse","1","12","false","False","multiply","764053","224","258","0","200","4","8","13","4","3","0","8","5","3","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","pointer_walk","924704","99","258","0","76","0","0","0","3","1","1","0","2","3","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","progmem_walk","3175020","176","2","0","152","10","21","4","3","5","0","6","1","3","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","progmem_widen_ldp16","542476","166","6","0","51","0","0","0","0","1","0","0","0","0","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","progmem_widen_ldp32_bytes","737024","232","6","0","54","0","0","0","0","1","0","0","0","0","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","progmem_widen_ldp32_words","542465","169","6","0","54","0","0","0","0","1","0","0","0","0","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","record_scan","1793903","243","290","0","219","6","12","8","3","6","1","8","1","7","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","reverse_walk","1926704","96","258","0","73","0","0","2","1","2","0","2","2","3","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","select","744268","183","194","0","125","4","6","2","1","2","0","2","1","3","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","shifts","520129","452","116","0","356","16","26","2","6","5","6","5","3","3","1","False","0"
"cost1-regs12-avgfalse","1","12","false","False","sieve","372894","88","900","0","65","0","0","3","1","1","0","1","1","6","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","small_memops","785139","220","66","0","196","12","12","1","0","3","0","2","3","2","1","False","0"
"cost1-regs12-avgfalse","1","12","false","False","stack_array","820167","455","4","0","206","0","0","0","0","1","15","0","15","0","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","state_machine","7292256","210","130","0","186","2","10","8","1","5","0","2","4","14","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","string_scan","25469691","585","386","0","561","12","14","11","12","5","8","20","14","34","2","False","0"
"cost1-regs12-avgfalse","1","12","false","False","struct_copy","593528","392","196","0","195","12","18","0","4","11","1","1","4","3","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","switch","936377","197","2","0","57","0","0","0","1","1","0","2","3","1","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","sys_memcmp","3024","180","266","0","156","2","7","5","4","4","0","2","4","1","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","sys_memcmp_p","5303","161","74","0","137","4","9","0","5","1","0","2","4","1","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","sys_strcmp","2715","212","280","0","188","4","13","10","4","1","0","11","2","4","0","False","0"
"cost1-regs12-avgfalse","1","12","false","False","sys_strcmp_p","5663","163","133","0","139","2","6","2","4","0","0","3","4","1","0","False","0"
